STATUS_ID,USER_ID,STATUS_TEXT
Isabel.Avivah34_27,Isabel.Avivah34,thinkable existence hug aback sky
Benedetta.Zola9_758,Benedetta.Zola9,cooing fireman withstand grotesque year
Winna.McKay71_321,Winna.McKay71,juvenile toothpaste fix odd breakfast
Elane.Viviyan28_397,Elane.Viviyan28,needy woman symbolize burly cakes
Phaidra.Fortuna55_639,Phaidra.Fortuna55,penitent tomatoes strive foamy jam
Flory.Hatfield83_467,Flory.Hatfield83,funny summer spoil cold songs
Nelli.Wayolle71_708,Nelli.Wayolle71,whimsical knowledge melt chilly parent
Gwendolyn.Mallis13_871,Gwendolyn.Mallis13,weary brick bathe old glove
Dix.Aronoff82_552,Dix.Aronoff82,aggressive tomatoes wrap knowing shop
Sasha.Vincent42_898,Sasha.Vincent42,wretched number knock sparkling drug
Reena.Brott1_790,Reena.Brott1,dashing alarm analyze frightened grandmother
Livia.Atalanti89_919,Livia.Atalanti89,picayune island melt combative locket
id1,c76,yep1
id2,c76,yep2
id3,c76,yep3
id4,c76,yep4
id5,c76,yep5
